death;pack
Starvation;Basegame
Fire ;Basegame
Drowning;Basegame
Electrocution;Basegame
Cardiac Explosion;Basegame
Hysteria;Basegame
Mortification;Basegame
Old Age;Basegame
Overexertion;Basegame
Cowplant;Basegame
Meteor;Basegame
Pufferfish;City Living
Overheating;Seasons
Freezing;Seasons
Lightning;Seasons
Death Flower;Seasons
Flies;Eco Lifestyle
Vending Machine;Snowy Escape
Rock Climbing Fall;Snowy Escape
Killer Rabbit;Cottage Living
Killer Chicken;Cottage Living
Steam;Spa Day
Spellcaster Overload;Realm of Magic
Rabid Rodent Fever;My First Pet Stuff
Crushed by Murphy Bed;Tiny Living
Rocket Ship Crash;Basegame
Koi Pond;Get Famous
Killed by Mermaid;Island Living
Eaten by Shark;Island Living
Beetles;Eco Lifestyle
Research;Discover University
Night Wraith;Realm of Magic
